agent_id,experiment,n_runs,agent_honest_rate,agent_decision_mean,agent_decision_sd,abs_deviation_mean,agent_reason_money_rate,agent_reason_consistency_rate,agent_reason_rules_rate,agent_reason_fairness_rate,agent_reason_intuition_rate,reason_capture_rate,reason_false_positive_rate,reasoning_alignment_score,human_honest,human_report,roll
26,001,10,1,1,0,0,0.8,1,0,0,0,NA,0.36,NA,TRUE,1,1
27,001,10,1,2,0,0,0.7,1,0.1,0.6,0,0.1,0.575,-0.475,TRUE,2,2
29,001,10,1,1,0,0,0,1,0.1,0.2,0,0.15000000000000002,0.3333333333333333,-0.1833333333333333,TRUE,1,1
30,001,10,1,2,0,0,0.9,1,0,0.1,0,0.1,0.475,-0.375,TRUE,2,2
31,001,10,1,5,0,0,0.9,0.9,0.2,0.1,0,0.1,0.5,-0.4,TRUE,5,5
32,001,10,1,1,0,0,0.1,1,0,0.2,0,0,0.325,-0.325,FALSE,3,1
33,001,10,1,5,0,0,0.5,1,0.1,0,0,0.05,0.5,-0.45,TRUE,5,5
35,001,10,1,1,0,0,0.5,1,0.6,0,0,0.25,0.5333333333333333,-0.2833333333333333,FALSE,5,1
36,001,10,1,3,0,0,0.6,1,0,0.3,0,0.43333333333333335,0.3,0.13333333333333336,TRUE,3,3
38,001,10,1,4,0,0,0.8,1,0.1,0,0,0.05,0.6,-0.5499999999999999,TRUE,4,4
40,001,10,1,2,0,0,0.9,1,0.4,0.1,0,0.5,0.4666666666666667,0.033333333333333326,FALSE,5,2
42,001,10,1,3,0,0,0.9,1,0,0,0,0.9,0.25,0.65,FALSE,5,3
43,001,10,1,4,0,0,0,1,0,0.6,0,0.3,0.3333333333333333,-0.033333333333333326,TRUE,4,4
44,001,10,1,2,0,0,0.9,1,0,0,0,0,0.6333333333333333,-0.6333333333333333,TRUE,2,2
45,001,10,1,4,0,0,0.6,1,0,0.4,0,0.5,0.3333333333333333,0.16666666666666669,TRUE,4,4
46,001,10,1,3,0,0,0.7,1,0,0.8,0,0.7,0.45,0.24999999999999994,FALSE,5,3
47,001,10,1,3,0,0,0.7,1,0,0.4,0,0.4666666666666667,0.35,0.1166666666666667,TRUE,3,3
48,001,10,1,2,0,0,0.3,1,0,0.8,0,0,0.525,-0.525,TRUE,2,2
49,001,10,1,5,0,0,0.7,1,0.1,0,0,0.05,0.5666666666666667,-0.5166666666666666,TRUE,5,5
50,001,10,1,2,0,0,0.8,1,0.1,0,0,0.6333333333333333,0,0.6333333333333333,TRUE,2,2
51,001,10,1,1,0,0,0.1,1,0,0.9,0,0.1,0.475,-0.375,FALSE,5,1
52,001,10,1,4,0,0,0.7,0.9,0.1,0.2,0,0.1,0.45,-0.35,TRUE,4,4
54,001,10,1,4,0,0,0.2,1,0.2,0.6,0,0.6,0.1,0.5,FALSE,5,4
55,001,10,1,5,0,0,0.9,1,0,0.1,0,0.5,0,0.5,TRUE,5,5
56,001,10,0,5,0,5,0.7,0.3,0.1,0.1,0,0.1,0.3333333333333333,-0.2333333333333333,TRUE,0,0
57,001,10,1,3,0,0,0.1,1,0,0.5,0,0.25,0.3666666666666667,-0.1166666666666667,TRUE,3,3
26,002,10,1,1,0,0,1,1,0.2,0,0,NA,0.44,NA,TRUE,1,1
27,002,10,1,2,0,0,1,1,0.3,0,0,0.3,0.5,-0.2,TRUE,2,2
29,002,10,1,1,0,0,1,1,0.1,0,0,0.05,0.6666666666666666,-0.6166666666666666,TRUE,1,1
30,002,10,1,2,0,0,0.9,1,0.3,0.1,0,0.1,0.55,-0.45000000000000007,TRUE,2,2
31,002,10,1,5,0,0,1,0.9,0.3,0,0,0,0.55,-0.55,TRUE,5,5
32,002,10,1,1,0,0,0.9,1,0.3,0,0,0,0.55,-0.55,FALSE,3,1
33,002,10,1,5,0,0,1,1,0.4,0.1,0,0.25,0.6666666666666666,-0.41666666666666663,TRUE,5,5
35,002,10,1,1,0,0,1,1,0.2,0,0,0.5,0.4,0.09999999999999998,FALSE,5,1
36,002,10,1,3,0,0,1,1,0,0,0,0.3333333333333333,0.5,-0.16666666666666669,TRUE,3,3
38,002,10,1,4,0,0,1,1,0.5,0,0,0.25,0.6666666666666666,-0.41666666666666663,TRUE,4,4
40,002,10,1,2,0,0,1,1,0,0,0,0.5,0.3333333333333333,0.16666666666666669,FALSE,5,2
42,002,10,0.9,3.2,0.6324555320336759,0.2,1,1,0.1,0,0,1,0.275,0.725,FALSE,5,3
43,002,10,1,4,0,0,1,1,0.7,0,0,0.35,0.6666666666666666,-0.31666666666666665,TRUE,4,4
44,002,10,1,2,0,0,0.9,0.9,0.4,0,0,0.2,0.6,-0.39999999999999997,TRUE,2,2
45,002,10,1,4,0,0,0.9,1,0.1,0,0,0.55,0.3,0.25000000000000006,TRUE,4,4
46,002,10,1,3,0,0,1,1,0.3,0,0,1,0.325,0.675,FALSE,5,3
47,002,10,1,3,0,0,1,0.9,0.3,0,0,0.4,0.5,-0.09999999999999998,TRUE,3,3
48,002,10,1,2,0,0,1,0.9,0.5,0,0,0.5,0.475,0.025000000000000022,TRUE,2,2
49,002,10,1,5,0,0,1,1,0,0,0,0,0.6666666666666666,-0.6666666666666666,TRUE,5,5
50,002,10,1,2,0,0,1,1,0.1,0,0,0.7,0,0.7,TRUE,2,2
51,002,10,1,1,0,0,0.9,1,0.3,0,0,0.9,0.325,0.575,FALSE,5,1
52,002,10,0.9,4.1,0.31622776601683794,0.1,1,0.9,0.1,0.1,0,0.1,0.5,-0.4,TRUE,4,4
54,002,10,1,4,0,0,1,1,0.3,0,0,0.43333333333333335,0.5,-0.06666666666666665,FALSE,5,4
