experiment_id,report_pct_1,report_pct_2,report_pct_3,report_pct_4,report_pct_5,report_pct_6,agent_lie_rate,honesty_dist_honest_humans_0,honesty_dist_honest_humans_20,honesty_dist_honest_humans_40,honesty_dist_honest_humans_60,honesty_dist_honest_humans_80,honesty_dist_honest_humans_100,honesty_dist_dishonest_humans_0,honesty_dist_dishonest_humans_20,honesty_dist_dishonest_humans_40,honesty_dist_dishonest_humans_60,honesty_dist_dishonest_humans_80,honesty_dist_dishonest_humans_100,kappa,kappa_n,kappa_se,kappa_significant
10001,14.97,15.9,16.41,16.11,18.86,17.74,0.033,0.0,0.0,0.0,1.71,13.23,85.06,0.0,0.0,0.0,1.85,9.26,88.89,-0.009,931,0.034,False
10002,15.47,15.94,16.95,16.63,16.58,18.43,0.01,0.0,0.0,0.0,0.23,4.45,95.32,0.0,0.0,0.0,0.0,9.26,90.74,0.014,931,0.055,False
10003,15.42,16.11,17.06,16.61,15.79,19.01,0.002,0.0,0.0,0.0,0.0,0.91,99.09,0.0,0.0,0.0,0.0,3.7,96.3,0.01,931,0.064,False
10004,14.74,15.19,16.35,15.77,19.98,17.98,0.044,0.0,0.34,1.37,3.65,7.87,86.77,0.0,1.85,1.85,9.26,12.96,74.07,0.054,931,0.045,False
10005,14.93,15.55,16.43,16.11,18.97,18.0,0.034,0.34,0.34,1.03,1.48,6.04,90.76,1.85,0.0,3.7,5.56,14.81,74.07,0.077,931,0.051,False
10006,15.08,15.66,16.18,16.07,18.75,18.26,0.032,1.71,0.91,0.57,0.11,1.37,95.32,0.0,1.85,3.7,0.0,5.56,88.89,0.022,931,0.042,False
10007,15.27,16.0,16.82,16.46,17.38,18.07,0.018,0.0,0.23,0.46,1.14,3.76,94.41,0.0,0.0,3.7,1.85,5.56,88.89,0.036,931,0.053,False
10008,14.11,14.89,15.3,15.25,25.11,15.34,0.097,0.23,1.25,2.17,8.89,14.37,73.09,3.7,1.85,5.56,20.37,22.22,46.3,0.093,931,0.046,True
10009,14.8,15.64,16.13,16.11,20.6,16.71,0.05,0.34,1.03,1.48,1.82,7.3,88.03,7.41,1.85,9.26,3.7,11.11,66.67,0.148,931,0.055,True
10010,14.59,15.49,16.24,15.83,20.26,17.59,0.05,0.8,0.91,1.14,1.37,6.73,89.05,11.11,1.85,1.85,9.26,12.96,62.96,0.17,931,0.057,True
10011,15.27,15.92,16.8,16.48,16.67,18.86,0.011,0.0,0.0,0.11,0.57,2.96,96.35,0.0,0.0,1.85,7.41,3.7,87.04,0.063,931,0.063,False
10012,13.88,14.48,15.02,14.89,25.2,16.54,0.097,0.91,1.94,3.88,6.39,8.1,78.79,3.7,3.7,12.96,18.52,1.85,59.26,0.101,931,0.046,True
10013,14.52,15.27,15.88,16.0,20.84,17.49,0.053,0.46,0.91,2.39,2.96,6.04,87.23,1.85,1.85,5.56,5.56,7.41,77.78,0.056,931,0.044,False
10014,15.42,16.05,16.97,16.65,16.07,18.84,0.005,0.0,0.0,0.0,0.23,1.6,98.18,0.0,0.0,0.0,1.85,5.56,92.59,0.025,931,0.063,False
11001,15.19,15.77,16.76,16.39,17.51,18.39,0.02,0.0,0.0,0.46,1.71,4.33,93.5,0.0,0.0,1.85,3.7,9.26,85.19,0.038,931,0.052,False
11002,15.25,15.88,16.56,16.28,18.28,17.74,0.027,0.11,0.23,0.91,1.71,4.1,92.93,1.85,3.7,1.85,3.7,9.26,79.63,0.092,931,0.056,False
11003,14.78,15.55,16.11,15.92,19.89,17.74,0.043,0.11,0.46,1.25,3.65,6.5,88.03,0.0,0.0,5.56,3.7,24.07,66.67,0.064,931,0.047,False
11004,14.76,15.38,15.83,15.92,20.67,17.44,0.051,0.8,1.25,1.48,2.28,3.76,90.42,7.41,0.0,7.41,5.56,16.67,62.96,0.138,931,0.054,True
11005,14.67,15.27,15.88,15.75,20.73,17.7,0.052,0.46,0.46,1.94,2.74,7.3,87.12,3.7,0.0,7.41,12.96,9.26,66.67,0.112,931,0.051,True
11006,14.63,15.51,15.9,16.24,20.15,17.57,0.046,0.68,1.37,1.14,1.82,3.19,91.79,5.56,5.56,1.85,9.26,9.26,68.52,0.142,931,0.055,True
11007,14.84,15.57,16.15,16.03,19.66,17.74,0.041,0.34,0.68,1.82,2.05,3.76,91.33,1.85,1.85,3.7,11.11,14.81,66.67,0.109,931,0.053,True
11008,14.99,15.64,16.03,16.11,19.4,17.83,0.038,0.11,0.57,1.25,2.39,6.27,89.4,0.0,0.0,5.56,3.7,18.52,72.22,0.059,931,0.047,False
11009,15.06,15.9,16.48,16.43,18.0,18.13,0.024,0.11,0.57,0.34,1.25,3.76,93.96,1.85,1.85,3.7,3.7,9.26,79.63,0.094,931,0.058,False
11010,14.95,15.75,16.29,16.22,18.48,18.31,0.029,0.11,0.46,0.8,1.48,4.33,92.82,1.85,3.7,5.56,3.7,7.41,77.78,0.113,931,0.058,False
11011,14.91,15.81,16.24,16.24,18.6,18.2,0.03,0.23,0.8,0.46,1.6,4.22,92.7,0.0,1.85,7.41,7.41,3.7,79.63,0.09,931,0.055,False
