agent_id,experiment_id,n_runs,n_honest,honesty_rate
1,10001,5,5,1.0
2,10001,5,5,1.0
3,10001,5,5,1.0
4,10001,5,5,1.0
5,10001,5,5,1.0
6,10001,5,3,0.6
7,10001,5,5,1.0
8,10001,5,4,0.8
9,10001,5,5,1.0
10,10001,5,5,1.0
11,10001,5,5,1.0
12,10001,5,5,1.0
13,10001,5,5,1.0
14,10001,5,4,0.8
15,10001,5,4,0.8
16,10001,5,5,1.0
17,10001,5,5,1.0
18,10001,5,5,1.0
19,10001,5,5,1.0
20,10001,5,5,1.0
21,10001,5,5,1.0
22,10001,5,5,1.0
23,10001,5,5,1.0
24,10001,5,5,1.0
25,10001,5,5,1.0
26,10001,5,5,1.0
27,10001,5,5,1.0
28,10001,5,5,1.0
29,10001,5,4,0.8
30,10001,5,5,1.0
31,10001,5,5,1.0
32,10001,5,4,0.8
33,10001,5,5,1.0
34,10001,5,5,1.0
35,10001,5,5,1.0
36,10001,5,5,1.0
37,10001,5,5,1.0
38,10001,5,4,0.8
39,10001,5,5,1.0
40,10001,5,4,0.8
41,10001,5,5,1.0
42,10001,5,5,1.0
43,10001,5,5,1.0
44,10001,5,5,1.0
45,10001,5,5,1.0
46,10001,5,5,1.0
47,10001,5,5,1.0
48,10001,5,5,1.0
49,10001,5,5,1.0
50,10001,5,5,1.0
51,10001,5,5,1.0
52,10001,5,5,1.0
53,10001,5,5,1.0
54,10001,5,5,1.0
55,10001,5,5,1.0
56,10001,5,5,1.0
57,10001,5,5,1.0
58,10001,5,5,1.0
59,10001,5,5,1.0
60,10001,5,4,0.8
61,10001,5,5,1.0
62,10001,5,5,1.0
63,10001,5,5,1.0
64,10001,5,5,1.0
65,10001,5,4,0.8
66,10001,5,5,1.0
67,10001,5,4,0.8
68,10001,5,4,0.8
69,10001,5,5,1.0
70,10001,5,5,1.0
71,10001,5,5,1.0
72,10001,5,5,1.0
73,10001,5,5,1.0
74,10001,5,5,1.0
75,10001,5,5,1.0
76,10001,5,5,1.0
77,10001,5,5,1.0
78,10001,5,5,1.0
79,10001,5,5,1.0
80,10001,5,5,1.0
81,10001,5,5,1.0
82,10001,5,5,1.0
83,10001,5,4,0.8
84,10001,5,5,1.0
85,10001,5,5,1.0
86,10001,5,5,1.0
87,10001,5,5,1.0
88,10001,5,4,0.8
89,10001,5,5,1.0
90,10001,5,5,1.0
91,10001,5,4,0.8
92,10001,5,4,0.8
93,10001,5,5,1.0
94,10001,5,5,1.0
95,10001,5,4,0.8
96,10001,5,4,0.8
97,10001,5,5,1.0
98,10001,5,5,1.0
99,10001,5,5,1.0
100,10001,5,4,0.8
101,10001,5,5,1.0
102,10001,5,4,0.8
103,10001,5,5,1.0
104,10001,5,5,1.0
105,10001,5,5,1.0
106,10001,5,5,1.0
107,10001,5,5,1.0
108,10001,5,5,1.0
109,10001,5,5,1.0
110,10001,5,5,1.0
111,10001,5,5,1.0
112,10001,5,3,0.6
113,10001,5,5,1.0
114,10001,5,5,1.0
115,10001,5,5,1.0
116,10001,5,5,1.0
117,10001,5,5,1.0
118,10001,5,5,1.0
119,10001,5,5,1.0
120,10001,5,5,1.0
121,10001,5,4,0.8
122,10001,5,5,1.0
123,10001,5,4,0.8
124,10001,5,5,1.0
125,10001,5,5,1.0
126,10001,5,4,0.8
127,10001,5,5,1.0
128,10001,5,5,1.0
129,10001,5,5,1.0
130,10001,5,5,1.0
131,10001,5,5,1.0
132,10001,5,4,0.8
133,10001,5,5,1.0
134,10001,5,5,1.0
135,10001,5,5,1.0
136,10001,5,5,1.0
137,10001,5,5,1.0
138,10001,5,5,1.0
139,10001,5,5,1.0
140,10001,5,5,1.0
141,10001,5,5,1.0
142,10001,5,5,1.0
143,10001,5,5,1.0
144,10001,5,5,1.0
145,10001,5,5,1.0
146,10001,5,5,1.0
147,10001,5,5,1.0
148,10001,5,5,1.0
149,10001,5,4,0.8
150,10001,5,5,1.0
151,10001,5,5,1.0
152,10001,5,5,1.0
153,10001,5,5,1.0
154,10001,5,5,1.0
155,10001,5,5,1.0
156,10001,5,5,1.0
157,10001,5,5,1.0
158,10001,5,5,1.0
159,10001,5,5,1.0
160,10001,5,5,1.0
161,10001,5,5,1.0
162,10001,5,5,1.0
163,10001,5,5,1.0
164,10001,5,5,1.0
165,10001,5,5,1.0
166,10001,5,5,1.0
167,10001,5,5,1.0
168,10001,5,5,1.0
169,10001,5,5,1.0
170,10001,5,5,1.0
171,10001,5,5,1.0
172,10001,5,5,1.0
173,10001,5,5,1.0
174,10001,5,5,1.0
175,10001,5,5,1.0
176,10001,5,4,0.8
177,10001,5,5,1.0
178,10001,5,5,1.0
179,10001,5,5,1.0
180,10001,5,5,1.0
181,10001,5,5,1.0
182,10001,5,4,0.8
183,10001,5,4,0.8
184,10001,5,4,0.8
185,10001,5,5,1.0
186,10001,5,5,1.0
187,10001,5,5,1.0
188,10001,5,4,0.8
189,10001,5,4,0.8
190,10001,5,5,1.0
191,10001,5,5,1.0
192,10001,5,5,1.0
193,10001,5,5,1.0
194,10001,5,5,1.0
195,10001,5,5,1.0
196,10001,5,5,1.0
197,10001,5,5,1.0
198,10001,5,5,1.0
199,10001,5,5,1.0
200,10001,5,5,1.0
201,10001,5,5,1.0
202,10001,5,4,0.8
203,10001,5,5,1.0
204,10001,5,5,1.0
205,10001,5,5,1.0
206,10001,5,5,1.0
207,10001,5,5,1.0
208,10001,5,5,1.0
209,10001,5,5,1.0
210,10001,5,4,0.8
211,10001,5,5,1.0
212,10001,5,5,1.0
213,10001,5,5,1.0
214,10001,5,5,1.0
215,10001,5,5,1.0
216,10001,5,5,1.0
217,10001,5,5,1.0
218,10001,5,5,1.0
219,10001,5,5,1.0
220,10001,5,5,1.0
221,10001,5,4,0.8
222,10001,5,5,1.0
223,10001,5,5,1.0
224,10001,5,5,1.0
225,10001,5,5,1.0
226,10001,5,5,1.0
227,10001,5,5,1.0
228,10001,5,5,1.0
229,10001,5,5,1.0
230,10001,5,5,1.0
231,10001,5,5,1.0
232,10001,5,4,0.8
233,10001,5,5,1.0
234,10001,5,5,1.0
235,10001,5,5,1.0
236,10001,5,5,1.0
237,10001,5,3,0.6
238,10001,5,5,1.0
239,10001,5,5,1.0
240,10001,5,4,0.8
241,10001,5,5,1.0
242,10001,5,5,1.0
243,10001,5,5,1.0
244,10001,5,5,1.0
245,10001,5,4,0.8
246,10001,5,5,1.0
247,10001,5,5,1.0
248,10001,5,4,0.8
249,10001,5,5,1.0
250,10001,5,4,0.8
251,10001,5,5,1.0
252,10001,5,5,1.0
253,10001,5,5,1.0
254,10001,5,5,1.0
255,10001,5,5,1.0
256,10001,5,5,1.0
257,10001,5,4,0.8
258,10001,5,5,1.0
259,10001,5,5,1.0
260,10001,5,5,1.0
261,10001,5,4,0.8
262,10001,5,5,1.0
